material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-1233946,MgAl4(HO)12,1,P1,29,0.121545368534484,False,0.998581886291504,0.0338605679571628,True,False,False,0.5162212271243334,False,model_prediction,True
mp-1202933,Sr3Ta7Si(BiO4)9,1,P1,56,0.033517120133931,False,0.0322332866489887,0.9999964237213136,False,True,False,0.5161148551851511,False,model_prediction,True
mp-1210781,MgV2P2(H4O7)2,1,P1,27,0.010265309232812,False,0.0322271883487701,0.9999432563781738,False,True,False,0.516085222363472,False,model_prediction,True
mp-1204264,In12Ga4Ir2O15,34,Pnn2,66,0.0,True,0.0319989249110221,0.9999921321868896,False,True,False,0.5159955285489559,False,model_prediction,True
mp-2227657,MgZr2(BiO4)2,5,C2,13,0.10866013,False,0.0318271107971668,0.9999984502792358,False,True,False,0.5159127805382013,False,model_prediction,True
mp-767218,Li9(NbS2)14,2,P-1,51,0.0,True,0.0317019559442997,0.9999922513961792,False,True,False,0.5158471036702394,False,model_prediction,True
mp-542058,Tl3B3Se10,2,P-1,32,0.002668514777774,False,0.0315077751874923,0.9999498128890992,False,True,False,0.5157287940382957,False,model_prediction,True
mp-1193618,Rb4Sn(SO)4,2,P-1,26,0.498772748096154,False,0.0314301364123821,0.999997854232788,False,True,False,0.5157139953225851,False,model_prediction,True
mp-1220983,NaMo2(P2O7)2,1,P1,21,0.0,True,0.0449332408607006,0.9862695336341858,False,True,False,0.5156013872474432,False,model_prediction,True
mp-1646972,Ca5Sc2(CoO6)2,3,P2,42,0.037393607460314,False,0.0302859880030155,0.9999951124191284,False,True,False,0.515140550211072,False,model_prediction,True
mp-2220334,Sr2MgCdWO6,8,Cm,11,0.5027237363636421,False,0.029914466664195,0.9999951124191284,False,True,False,0.5149547895416617,False,model_prediction,True
mp-1227512,Bi4(SeS)3,26,Pmc2_1,20,0.020896509499994,False,0.99989116191864,0.0299740955233573,True,False,False,0.5149326287209988,False,model_prediction,True
mp-985594,NaAg(CO2)2,7,Pc,16,0.13589373700521,False,0.0301083549857139,0.9996483325958252,False,True,False,0.5148783437907696,False,model_prediction,True
mp-2912310,Na2Zr(SiO3)6,28,Pma2,54,0.064768586805552,False,0.0298418700695037,0.9997993111610411,False,True,False,0.5148205906152725,False,model_prediction,True
mp-2233187,MgV2Ni(TeO5)2,1,P1,16,0.173425475677082,False,0.9972817897796632,0.0318998917937278,True,False,False,0.5145908407866955,False,model_prediction,True
mp-766834,Li7Ti16O32,8,Cm,55,0.037249736727281,False,0.0291221793740987,0.9998347759246826,False,True,False,0.5144784776493907,False,model_prediction,True
mp-867984,Pb3NO6,29,Pca2_1,40,0.118301765750011,False,0.0289296694099903,0.999996542930603,False,True,False,0.5144631061702967,False,model_prediction,True
mp-558747,TiTlPS5,2,P-1,16,0.003341145,False,0.028799545019865,0.9999979734420776,False,True,False,0.5143987592309713,False,model_prediction,True
mp-1302334,Li3V4O8,2,P-1,30,0.043297463583339,False,0.0289476383477449,0.9998093247413636,False,True,False,0.5143784815445542,False,model_prediction,True
mp-1227533,Be10Ru3,8,Cm,26,0.165666873581731,False,0.0287353713065385,0.9999969005584716,False,True,False,0.5143661359325051,False,model_prediction,True
mp-626788,ReH3O5,1,P1,18,0.020969923333333,False,0.028706656768918,0.9999661445617676,False,True,False,0.5143364006653428,False,model_prediction,True
mp-2714834,NaY3Mg(SO4)6,143,P3,105,0.007768618964281,False,0.0286593455821275,0.9999959468841552,False,True,False,0.5143276462331414,False,model_prediction,True
mp-613733,K2PdN2(ClO2)2,1,P1,11,0.063047873090905,False,0.0286036450415849,0.9999980926513672,False,True,False,0.5143008688464761,False,model_prediction,True
mp-1235940,LiLu2W2(ClO4)2,1,P1,15,0.154376181472218,False,0.0285918153822422,0.99999737739563,False,True,False,0.514294596388936,False,model_prediction,True
mp-1203559,Ba(BH)12,159,P31c,50,0.0,True,0.9983258843421936,0.0302375722676515,True,False,False,0.5142817283049226,False,model_prediction,True
